,Concept_ID,se,az
0,Auge::N,tjelmie,göz
1,Auge::N,tjalmme,göz
2,Auge::N,čalbmi,göz
3,Auge::N,čalme,göz
4,Auge::N,čâ´lmm,göz
5,Auge::N,ча̄лльм,göz
6,Ohr::N,bieljie,qulaq
7,Ohr::N,biellje,qulaq
8,Ohr::N,beallji,qulaq
9,Ohr::N,pelji,qulaq
10,Ohr::N,pe´llj,qulaq
11,Ohr::N,пе̄лльй,qulaq
12,Nase::N,njuenie,burun
13,Nase::N,njunnje,burun
14,Nase::N,njunni,burun
15,Nase::N,njuṇe,burun
16,Nase::N,njuu´nn,burun
17,Nase::N,нюннҍ,burun
18,Mund::N,njaelmie,ağız
19,Mund::N,njálmme,ağız
20,Mund::N,njálbmi,ağız
21,Mund::N,njälmi,ağız
22,Mund::N,njä´lmm,ağız
23,Mund::N,ня̄лльм,ağız
24,Zahn::N,baenie,diş
25,Zahn::N,bádne,diş
26,Zahn::N,bátni,diş
27,Zahn::N,pääṇi,diş
28,Zahn::N,pää´nn,diş
29,Zahn::N,па̄ннҍ,diş
30,Zunge::N,njoektjeme,dil
31,Zunge::N,njuovtjav,dil
32,Zunge::N,njuovčča,dil
33,Zunge::N,njuovčâ,dil
34,Zunge::N,njuhččâm,dil
35,Zunge::N,нюхчем,dil
36,Lippe::N,bangseme,dodaq
37,Lippe::N,njálmmerabdda,dodaq
38,Lippe::N,bavssa,dodaq
39,Lippe::N,poovsâ,dodaq
40,Lippe::N,põõus,dodaq
41,Lippe::N,пэ̄кс,dodaq
42,Wange::N,skiehrie,yanaq
43,Wange::N,nierra,yanaq
44,Wange::N,muohtu,yanaq
45,Wange::N,nieṛâ,yanaq
46,Wange::N,njiõrr,yanaq
47,Wange::N,нӣрр,yanaq
48,Gesicht::N,ååredæjja,üz
49,Gesicht::N,muohto,üz
50,Gesicht::N,muođut,üz
51,Gesicht::N,ámadadju,üz
52,Gesicht::N,muáđuh,üz
53,Gesicht::N,muâđ,üz
54,Gesicht::N,ка̄ссв,üz
55,Stirn::N,gaalloe,alın
56,Stirn::N,gállo,alın
57,Stirn::N,gállu,alın
58,Stirn::N,kállu,alın
59,Stirn::N,käll,alın
60,Stirn::N,вуэххьц,alın
61,Haar::N,voepte,saç
62,Haar::N,vuoppta,saç
63,Haar::N,vuokta,saç
64,Haar::N,vuop'tâ,saç
65,Haar::N,vuõpt,saç
66,Haar::N,вӯппт,saç
67,Schnurrbart::N,bijjie-skaavtjoe,bığ
68,Schnurrbart::N,njunjevuolskávttjá,bığ
69,Schnurrbart::N,seamu,bığ
70,Schnurrbart::N,siämu,bığ
71,Schnurrbart::N,ää´bben,bığ
72,Schnurrbart::N,о̄а̄бпан,bığ
