,Concept_ID,tr,hu
0,Auge::N,göz,szem
1,Ohr::N,kulak,fül
2,Nase::N,burun,orr
3,Mund::N,ağız,száj
4,Zahn::N,diş,fog
5,Zunge::N,dil,nyelv
6,Lippe::N,dudak,ajak
7,Wange::N,yanak,orca
8,Gesicht::N,yüz,arc
9,Stirn::N,alın,homlok
10,Haar::N,saç,haj
11,Schnurrbart::N,bıyık,bajusz
12,Bart::N,sakal,szakáll
13,Kinn::N,çene,áll
14,Kiefer[Anatomie]::N,çene,állkapocs
15,Kehle::N,boğaz,gége
16,Kehle::N,boğaz,torok
17,Hals::N,boyun,nyak
18,Hals::N,gerdan,nyak
19,Genick::N,ense,tarkó
20,Kopf::N,baş,fő
21,Kopf::N,baş,fej
22,Kopf::N,kafa,fő
23,Kopf::N,kafa,fej
24,Rücken::N,arka,hát
25,Bauch::N,karın,has
26,Nabel::N,göbek,köldök
27,Busen::N,koyun,mell
28,Busen::N,koyun,kebel
29,Brust::N,göğüs,mell
30,Schulter::N,omuz,váll
31,Arm::N,kol,kar
32,Ellenbogen::N,dirsek,könyök
33,Hand::N,el,kéz
34,Handfläche::N,avuç,tenyér
35,Handfläche::N,el ayası,tenyér
36,Finger::N,parmak,ujj
37,Fingernagel::N,el tırnağı,köröm
38,Nagel[Anatomie]::N,tırnak,köröm
39,Zeh::N,ayak parmağı,lábujj
40,Fuß::N,ayak,láb
41,Ferse::N,topuk,sarok
42,Knie::N,diz,térd
43,Oberschenkel::N,uyluk,comb
44,Bein::N,bacak,láb
45,Bein::N,bacak,lábszár
46,Körper::N,vücut,test
47,Haut::N,cilt,bőr
48,Blut::N,kan,vér
49,Ader::N,damar,ér
50,Sehne::N,kiriş,ín
51,Knochen::N,kemik,csont
52,Gehirn::N,beyin,agy
53,Gehirn::N,beyin,agyvelő
54,Herz::N,kalp,szív
55,Herz::N,yürek,szív
56,Magen::N,mide,gyomor
57,Leber::N,karaciğer,máj
58,Atem::N,nefes,lehelet
59,Atem::N,nefes,lélegzet
60,Hunger::N,açlık,éhség
61,Träne::N,gözyaşı,könny
62,Geschmack::N,tat,íz
63,Geschmack::N,lezzet,íz
64,Geruch::N,koku,szag
65,Schlaf::N,uyku,álom
66,Schlaf::N,uyku,alvás
67,Traum::N,düş,álom
68,Traum::N,rüya,álom
69,Himmel::N,gök,ég
70,Himmel::N,gök,menny
71,Sonne::N,güneş,nap
72,Mond::N,ay,hold
73,Stern::N,yıldız,csillag
74,Luft::N,hava,levegő
75,Wind::N,yel,szél
76,Wind::N,rüzgâr,szél
77,Welle::N,dalga,hullám
78,Wasser::N,su,víz
79,Stein::N,taş,kő
80,Boden::N,yer,föld
81,Boden::N,yer,talaj
82,Boden::N,zemin,föld
83,Boden::N,zemin,talaj
84,Erde::N,toprak,föld
85,Staub::N,toz,por
86,Rauch::N,duman,füst
87,Funke::N,kıvılcım,szikra
88,Feuer::N,ateş,tűz
89,Licht::N,ışık,fény
90,Schatten::N,gölge,árnyék
91,Wetter::N,hava,idő
92,Wetter::N,hava,időjárás
93,Nebel::N,pus,köd
94,Wolke::N,bulut,felhő
95,Regen::N,yağmur,eső
96,Schnee::N,kar,hó
97,Eis::N,buz,jég
98,Frost::N,don,fagy
99,Kälte::N,soğukluk,hideg
100,Hitze::N,sıcaklık,hő
101,Hitze::N,sıcaklık,hőség
102,Raureif::N,kırç,zúzmara
103,Regenbogen::N,gökkuşağı,szivárvány
104,Donner::N,gök gürlemesi,dörgés
105,Donner::N,gök gürlemesi,mennydörgés
106,Strömung::N,akıntı,áramlat
107,Strömung::N,cereyan,áramlat
108,Tropfen::N,damla,csepp
109,Schaum::N,köpük,hab
110,Schaum::N,köpük,tajték
111,Schmutz::N,çamur,piszok
112,Schmutz::N,pislik,piszok
113,See::N,göl,tó
114,Sumpf::N,batak,mocsár
115,Moor::N,cılgıt,láp
116,Wiese::N,çimen,rét
117,Wiese::N,çimen,mező
118,Wald::N,koru,erdő
119,Wald::N,orman,erdő
120,Hügel::N,tepe,domb
121,Anhöhe::N,tümsek,magaslat
122,Anhöhe::N,yükseklik,magaslat
123,Berg::N,dağ,hegy
124,Gipfel::N,zirve,csúcs
125,Höhle::N,in,barlang
126,Höhle::N,mağara,barlang
127,Abhang::N,bayır,lejtő
128,Quelle::N,pınar,forrás
129,Quelle::N,kaynak,forrás
130,Bach::N,çay,patak
131,Bach::N,dere,patak
132,Fluss::N,nehir,folyó
133,Ufer::N,kıyı,part
134,Ufer::N,sahil,part
135,Küste::N,kıyı,tengerpart
136,Küste::N,sahil,tengerpart
137,Festland::N,kara,szárazföld
138,Meer::N,deniz,tenger
139,Bucht::N,koy,öböl
140,Bucht::N,körfez,öböl
141,Insel::N,ada,sziget
142,Blume::N,çiçek,virág
143,Gras::N,ot,fű
144,Gras::N,çim,fű
145,Wurzel::N,kök,gyökér
146,Baum::N,ağaç,fa
147,Stamm::N,gövde,tő
148,Stamm::N,gövde,törzs
149,Rinde::N,kabuk,kéreg
150,Ast::N,dal,ág
151,Ast::N,budak,ág
152,Zweig::N,dal,gally
153,Blatt::N,yaprak,levél
154,Birke::N,huş,nyír
155,Kiefer[Baum]::N,çam,fenyő
156,Weide[Baum]::N,söğüt,fűz
157,Tanne::N,çam,fenyő
158,Tanne::N,köknar,fenyő
159,Horn::N,boynuz,szarv
160,Feder::N,tüy,toll
161,Fell::N,post,szőr
162,Fell::N,post,bunda
163,Flügel::N,kanat,szárny
164,Klaue::N,pençe,köröm
165,Kralle::N,tırnak,karom
166,Schwanz::N,kuyruk,farok
167,Ei::N,yumurta,tojás
168,Nest::N,yuva,fészek
169,Bau::N,in,odú
170,Tier::N,hayvan,állat
171,Herde::N,sürü,nyáj
172,Herde::N,sürü,csorda
173,Kuh::N,inek,tehén
174,Bulle::N,boğa,bika
175,Pferd::N,at,ló
176,Pferd::N,beygir,ló
177,Schaf::N,koyun,juh
178,Schaf::N,koyun,birka
179,Schwein::N,domuz,sertés
180,Hund::N,it,eb
181,Hund::N,it,kutya
182,Hund::N,köpek,eb
183,Hund::N,köpek,kutya
184,Katze::N,kedi,macska
185,Bär::N,ayı,medve
186,Eichhörnchen::N,sincap,mókus
187,Elch::N,büyük kuzey geyiği,jávorszarvas
188,Fuchs::N,tilki,róka
189,Hase::N,tavşan,nyúl
190,Maus::N,fare,egér
191,Maus::N,sıçan,egér
192,Wolf::N,kurt,farkas
193,Vogel::N,kuş,madár
194,Schwarm::N,sürü,raj
195,Huhn::N,tavuk,tyúk
196,Hahn::N,horoz,kakas
197,Gans::N,kaz,lúd
198,Gans::N,kaz,liba
199,Adler::N,kartal,sas
200,Adler::N,karakuş,sas
201,Ente::N,ördek,kacsa
202,Eule::N,baykuş,bagoly
203,Kranich::N,turna,daru
204,Krähe::N,karga,varjú
205,Kuckuck::N,guguk,kakukk
206,Schwan::N,kuğu,hattyú
207,Fisch::N,balık,hal
208,Barsch::N,hani,sügér
209,Barsch::N,levrek,sügér
210,Hecht::N,turnabalığı,csuka
211,Schlange[Tier]::N,yılan,kígyó
212,Wurm::N,kurt,kukac
213,Wurm::N,solucan,kukac
214,Spinne::N,örümcek,pók
215,Ameise::N,karınca,hangya
216,Laus::N,bit,tetű
217,Mücke::N,sivrisinek,szúnyog
218,Fliege::N,sinek,légy
219,Schmetterling::N,kelebek,lepke
220,Schmetterling::N,kelebek,pillangó
221,Beere::N,tane,bogyó
222,Apfel::N,elma,alma
223,Pilz::N,mantar,gomba
224,Zwiebel::N,soğan,hagyma
225,Saat::N,ekin,vetőmag
226,Korn::N,tane,mag
227,Korn::N,tane,szem
228,Heu::N,kuru ot,széna
229,Schale::N,kabuk,héj
